1	01	Right now, two hundred and six bones are holding you together.
1	02	And most of the time, you never even notice them.
2	03	But bones aren't dry, dead sticks. They're living tissue.
2	04	A hard outer shell of compact bone. A light honeycomb of spongy bone inside.
2	05	And at the core, marrow, making billions of new blood cells every day.
3	06	That design makes bone light, but incredibly tough. It takes several times your body weight with every running stride.
4	07	Bones are also your built-in armour.
4	08	Your skull encases your brain.
4	09	Your ribcage shields your heart and lungs.
4	10	And your spine guards the spinal cord, your body's main information highway.
5	11	Even when a bone breaks, it rebuilds itself, bridging the gap with brand new bone.
6	12	Strong. Light. Alive.
6	13	Your skeleton. Protecting you, every single day.
